Date,Close/Last,Volume,Open,High,Low
05/22/2017,$15.7186,1872219,$15.9073,$16.0959,$15.6558
05/19/2017,$15.9073,2109843,$15.3728,$16.0645,$15.3728
05/18/2017,$15.4043,1664512,$15.4357,$15.5615,$15.2785
05/17/2017,$15.4671,1970911,$16.033,$16.0959,$15.4357
05/16/2017,$16.1902,2325457,$16.7246,$16.8818,$16.033
05/15/2017,$16.6303,2560704,$16.9761,$16.9761,$16.2845
05/12/2017,$16.9133,2005219,$17.2905,$17.2905,$16.7875
05/11/2017,$17.2905,1439464,$17.5734,$17.6363,$17.2276
05/10/2017,$17.5734,2811340,$18.1079,$18.1708,$17.2276
05/09/2017,$18.1708,3060220,$18.4223,$18.9252,$18.0764
05/08/2017,$18.1079,1889925,$18.4223,$18.465,$17.9193
05/05/2017,$18.2965,1308027,$18.5166,$18.6266,$18.2336
05/04/2017,$18.4851,1239935,$18.9567,$18.9567,$18.4223
05/03/2017,$18.9252,831965,$18.7681,$18.9655,$18.7052
05/02/2017,$18.8938,1054953,$18.7052,$18.8938,$18.5952
05/01/2017,$18.7366,1273325,$19.1453,$19.2082,$18.6738
04/28/2017,$19.051,1368143,$19.3025,$19.3025,$18.8624
04/27/2017,$19.3025,773891,$19.6169,$19.6483,$19.2082
04/26/2017,$19.6169,1091770,$19.4911,$19.7426,$19.3968
04/25/2017,$19.4911,836945,$19.3968,$19.6797,$19.3968
04/24/2017,$19.3025,1426006,$19.6169,$19.6169,$19.1453
04/21/2017,$19.4282,986350,$19.4911,$19.6169,$19.2396
04/20/2017,$19.4597,1963344,$19.2396,$19.7741,$19.1767
04/19/2017,$19.1139,723811,$19.2082,$19.3025,$19.0038
04/18/2017,$19.1767,630365,$19.2396,$19.3025,$18.9881
04/17/2017,$19.3025,582622,$19.1453,$19.3025,$19.051
04/13/2017,$18.9881,1097425,$19.0824,$19.2396,$18.8309
04/12/2017,$19.051,1122091,$19.2082,$19.382,$18.9252
04/11/2017,$19.3025,712543,$19.2396,$19.3968,$19.0824
04/10/2017,$19.2711,782463,$19.2082,$19.3025,$18.9252
04/07/2017,$19.0824,1099043,$19.3025,$19.4282,$19.0196
04/06/2017,$19.3654,932052,$19.4597,$19.4911,$19.0824
04/05/2017,$19.4911,1225879,$19.9627,$19.9941,$19.4125
04/04/2017,$19.8369,1866994,$20.057,$20.1513,$19.8369
04/03/2017,$20.0256,2423753,$20.0256,$20.1827,$19.8055
03/31/2017,$19.7741,1754136,$19.6169,$19.8684,$19.4911
03/30/2017,$19.5854,1648910,$19.4282,$19.6483,$19.3025
03/29/2017,$19.4597,1383490,$19.2082,$19.4911,$19.1139
03/28/2017,$19.2082,1312471,$19.3025,$19.3339,$19.0196
03/27/2017,$19.3654,1437822,$19.0824,$19.4597,$19.0196
03/24/2017,$19.3968,1721932,$19.1139,$19.4754,$19.051
03/23/2017,$18.9881,853920,$19.1139,$19.3025,$18.9881
03/22/2017,$19.051,843051,$18.8938,$19.1767,$18.8309
03/21/2017,$18.9567,828111,$19.3339,$19.4911,$18.9567
03/20/2017,$19.2396,946816,$19.2082,$19.5854,$19.2082
03/17/2017,$19.2396,1759563,$19.051,$19.3025,$19.051
03/16/2017,$18.9881,1015047,$18.9252,$19.1139,$18.8624
03/15/2017,$18.9252,1187678,$18.8624,$19.0982,$18.579
03/14/2017,$19.2082,1575714,$19.0824,$19.3811,$19.0196
03/13/2017,$19.1139,1909098,$18.8624,$19.2711,$18.8309
03/10/2017,$18.9567,1483235,$18.6738,$18.9881,$18.6423
03/09/2017,$18.5794,1117981,$18.5166,$18.7995,$18.4851
03/08/2017,$18.5794,1058104,$18.548,$18.7995,$18.4537
03/07/2017,$18.5166,1231155,$18.4223,$18.6423,$18.3908
03/06/2017,$18.4223,1125396,$18.4851,$18.6423,$18.3594
03/03/2017,$18.4851,2638713,$18.6738,$18.7366,$18.2965
03/02/2017,$18.7052,1812035,$19.0196,$19.2396,$18.7052
03/01/2017,$19.1139,3872387,$19.8055,$19.8369,$18.4223
02/28/2017,$19.7112,3963483,$19.5854,$19.8055,$19.4597
02/27/2017,$19.7741,1773132,$19.6483,$19.8055,$19.5068
02/24/2017,$19.7426,1136458,$19.554,$19.7741,$19.4597
02/23/2017,$19.7112,1276803,$19.6483,$19.7741,$19.5226
02/22/2017,$19.7112,1540500,$19.3654,$19.7426,$19.2711
02/21/2017,$19.3968,1199854,$19.6483,$19.6483,$19.1453
02/17/2017,$19.6169,1660304,$19.6483,$19.6955,$19.4911
02/16/2017,$19.6483,691164,$19.7112,$19.7741,$19.554
02/15/2017,$19.8055,951209,$19.6797,$19.8369,$19.5854
02/14/2017,$19.7426,1196073,$19.7741,$19.8055,$19.6169
02/13/2017,$19.7112,1419907,$19.7426,$19.8055,$19.554
